created_at,entry_id,field1,field2,latitude,longitude,elevation,status
2022-11-17T14:15:06+05:30,1,614.9,550.3,,,,
2022-11-17T14:15:26+05:30,2,620.7,540.6,,,,
2022-11-17T14:15:46+05:30,3,614.9,535.7,,,,
2022-11-17T14:16:06+05:30,4,614.9,530.8,,,,
2022-11-17T14:16:26+05:30,5,614.9,527.9,,,,
2022-11-17T14:16:46+05:30,6,615.8,525.9,,,,
2022-11-17T14:17:06+05:30,7,615.8,523.9,,,,
2022-11-17T14:17:26+05:30,8,615.8,523.0,,,,
2022-11-17T14:17:46+05:30,9,615.8,535.7,,,,
2022-11-17T14:18:06+05:30,10,616.8,523.0,,,,
2022-11-17T14:18:26+05:30,11,615.8,517.1,,,,
2022-11-17T14:18:46+05:30,12,615.8,514.2,,,,
2022-11-17T14:19:06+05:30,13,616.8,507.3,,,,
2022-11-17T14:19:26+05:30,14,616.8,504.4,,,,
2022-11-17T14:19:46+05:30,15,617.8,501.5,,,,
2022-11-17T14:20:06+05:30,16,617.8,512.2,,,,
2022-11-17T14:20:26+05:30,17,618.8,495.6,,,,
2022-11-17T14:20:46+05:30,18,624.6,494.6,,,,
2022-11-17T14:21:06+05:30,19,617.8,492.7,,,,
2022-11-17T14:21:26+05:30,20,620.7,498.5,,,,
2022-11-17T14:21:46+05:30,21,624.6,490.7,,,,
2022-11-17T14:22:06+05:30,22,621.7,502.4,,,,
2022-11-17T14:22:26+05:30,23,620.7,503.4,,,,
2022-11-17T14:22:46+05:30,24,617.8,488.8,,,,
2022-11-17T14:23:06+05:30,25,617.8,488.8,,,,
2022-11-17T14:23:26+05:30,26,617.8,485.8,,,,
2022-11-17T14:23:46+05:30,27,618.8,482.9,,,,
2022-11-17T14:24:06+05:30,28,621.7,471.2,,,,
2022-11-17T14:24:26+05:30,29,621.7,419.4,,,,
2022-11-17T14:24:46+05:30,30,621.7,446.7,,,,
2022-11-17T14:25:06+05:30,31,622.7,446.7,,,,
2022-11-17T14:25:26+05:30,32,621.7,452.6,,,,
2022-11-17T14:25:46+05:30,33,627.6,453.6,,,,
2022-11-17T14:26:06+05:30,34,621.7,456.5,,,,
2022-11-17T14:26:26+05:30,35,621.7,441.8,,,,
2022-11-17T14:26:46+05:30,36,624.6,437.0,,,,
2022-11-17T14:27:06+05:30,37,622.7,433.0,,,,
2022-11-17T14:27:26+05:30,38,622.7,442.8,,,,
2022-11-17T14:27:46+05:30,39,627.6,425.2,,,,
2022-11-17T14:28:06+05:30,40,626.6,464.3,,,,
2022-11-17T14:28:26+05:30,41,618.8,468.2,,,,
2022-11-17T14:28:46+05:30,42,618.8,483.9,,,,
2022-11-17T14:29:06+05:30,43,617.8,472.1,,,,
2022-11-17T14:29:26+05:30,44,618.8,475.1,,,,
2022-11-17T14:29:46+05:30,45,617.8,476.1,,,,
2022-11-17T14:30:06+05:30,46,617.8,474.1,,,,
2022-11-17T14:30:26+05:30,47,617.8,471.2,,,,
2022-11-17T14:30:46+05:30,48,617.8,482.9,,,,
2022-11-17T14:31:06+05:30,49,619.7,472.1,,,,
2022-11-17T14:31:26+05:30,50,621.7,421.3,,,,
2022-11-17T14:31:46+05:30,51,624.6,417.4,,,,
2022-11-17T14:32:06+05:30,52,626.6,444.8,,,,
2022-11-17T14:32:26+05:30,53,621.7,448.7,,,,
2022-11-17T14:32:46+05:30,54,621.7,444.8,,,,
2022-11-17T14:33:06+05:30,55,621.7,442.8,,,,
2022-11-17T14:33:26+05:30,56,621.7,465.3,,,,
2022-11-17T14:33:46+05:30,57,621.7,453.6,,,,
2022-11-17T14:34:06+05:30,58,621.7,455.5,,,,
2022-11-17T14:34:26+05:30,59,621.7,454.5,,,,
2022-11-17T14:34:46+05:30,60,628.5,451.6,,,,
2022-11-17T14:35:06+05:30,61,627.6,442.8,,,,
